system:index,Dynamic world LULC,EVI,Elevation in m,Gross primary productivity in kg C per square m per 16 days,Land surface temperature in °C,Leaf area index,Methane ppb,Monthly precipitation in mm,NDVI,.geo
60,Built,0.37,44,0.0,27.89,1.69,1867.27,39.53,0.59,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.452271379689835,52.448137863318266]}"
61,Built,0.34,39,0.0,27.89,1.69,1867.83,39.53,0.58,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.461254532531031,52.448137863318266]}"
62,Built,0.33,36,0.0,27.89,1.69,1867.84,39.53,0.57,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.470237685372226,52.448137863318266]}"
63,Built,0.32,35,0.0,27.89,1.69,1867.84,39.53,0.55,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.47922083821342,52.448137863318266]}"
64,Built,0.35,36,0.0,27.89,1.69,1867.84,39.53,0.59,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.488203991054617,52.448137863318266]}"
65,Built,0.38,36,0.0,27.89,1.69,1867.84,39.53,0.6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.497187143895811,52.448137863318266]}"
66,Built,0.35,37,0.0,28.47,1.38,1867.84,39.53,0.57,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.506170296737006,52.448137863318266]}"
67,Built,0.31,37,0.0,28.47,1.38,1867.86,39.53,0.51,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.515153449578202,52.448137863318266]}"
68,Built,0.28,36,0.0,28.47,1.38,1870.27,39.53,0.46,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.524136602419397,52.448137863318266]}"
69,Built,0.3,37,0.0,28.47,1.38,1870.95,39.53,0.52,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.533119755260591,52.448137863318266]}"
70,Trees,0.41,41,0.0,28.47,1.38,1875.95,39.53,0.71,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.542102908101787,52.448137863318266]}"
71,Built,0.39,38,0.0,28.47,1.38,0.0,42.08,0.64,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.551086060942982,52.448137863318266]}"
72,Built,0.34,39,0.0,28.47,1.38,0.0,42.08,0.57,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.560069213784178,52.448137863318266]}"
73,Built,0.28,37,0.0,28.47,1.38,0.0,42.08,0.52,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.569052366625373,52.448137863318266]}"
74,Built,0.25,37,0.0,28.47,1.38,0.0,42.08,0.54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.578035519466567,52.448137863318266]}"
75,Built,0.24,39,0.0,25.51,2.41,0.0,42.08,0.48,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.587018672307764,52.448137863318266]}"
76,Built,0.33,39,0.0,25.51,2.41,0.0,42.08,0.61,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.596001825148958,52.448137863318266]}"
77,Trees,0.39,44,399.09,25.51,2.41,0.0,42.08,0.7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.604984977990153,52.448137863318266]}"
78,Built,0.42,54,0.0,25.84,2.35,1864.9,34.3,0.74,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.263625170024735,52.45712101615946]}"
79,Built,0.39,54,0.0,25.84,2.35,1865.52,34.3,0.65,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.272608322865931,52.45712101615946]}"
